,Region,Happiness Score,GDP,Family,Health,Freedom,Corruption,Generosity,Status
37,Central and Eastern Europe,6.654600041198731,1.268562470413208,1.32484904334259,0.8274068006210328,0.4737532347335816,0.03465058541989326,0.08085135177850725,Feliz
38,Western Europe,7.545999967193604,1.396728602554322,1.4476883185043339,0.8652491049156188,0.6259593444900512,0.42937401363372796,0.3188760977458954,Feliz
39,Sub-Saharan Africa,4.369,0.44025,0.59207,0.36291,0.46074,0.28105,0.18093,Infeliz
40,Latin America and Caribbean,5.199400003814698,0.9999227673034661,1.282279341217042,0.6425627490882874,0.545379966747284,0.1174010506386756,0.169933569946289,Feliz
41,Latin America and Caribbean,5.991999979400633,0.9277800796661382,1.157387762741088,0.7533032444725035,0.47952763971138,0.1416809294977188,0.12125249300479882,Feliz
42,Middle East and Northern Africa,4.37520002670288,0.9246903614997863,0.8613202784309388,0.5710934517440795,0.23929203092575083,0.09111027309560779,0.10732028855705258,Infeliz
43,Latin America and Caribbean,6.124199956512452,0.8296048991661072,1.097989018310546,0.6594777105560301,0.41992850593376163,0.09397419197845457,0.08638959708261491,Feliz
44,Central and Eastern Europe,5.637800012207032,1.2378518680343622,1.363242219932556,0.7521516632728577,0.47822428607749934,0.1710557844457626,0.09178416224098204,Feliz
45,Sub-Saharan Africa,4.4232000076293945,0.29335876909446723,0.766209840751648,0.41254794150924673,0.401274548488617,0.1467271427736282,0.2560241480293274,Infeliz
46,Western Europe,7.537799972534181,1.356960385032654,1.4344293450164798,0.8738355339088442,0.6215361713371277,0.39847430858802796,0.217782554517746,Feliz
47,Western Europe,6.515199982452392,1.3441166923828118,1.3182473703308102,0.9162411703567503,0.4883904231033326,0.18320848565864561,0.11673646136188501,Feliz
48,Sub-Saharan Africa,4.407800030517578,1.1019920478820802,1.02631604346466,0.4229397176971436,0.3126897154083252,0.07741935744047164,0.04988907566738128,Infeliz
49,Central and Eastern Europe,4.338799954986572,0.8538865328445434,0.481344986793518,0.6828313961715697,0.3521580071220398,0.2665553270549774,0.051667763087511066,Infeliz
50,Western Europe,6.92900004272461,1.395342676742554,1.359526070281982,0.8707361463508606,0.5585882768974304,0.2651343876247406,0.2913858340091706,Feliz
51,Sub-Saharan Africa,4.536399977111816,0.6093749648857116,0.7621469473495484,0.36335354535675035,0.42723525870323176,0.03409727397441864,0.2313647887516022,Infeliz
52,Western Europe,5.152400047302247,1.2054814962234501,1.056294914543152,0.8741237806167602,0.08578825018835068,0.035305955378294,0.0,Feliz
53,Latin America and Caribbean,6.34379999923706,0.8066143891944886,1.141467038726806,0.6157759979515076,0.5502861235847474,0.08159065571641923,0.24009167856597902,Feliz
54,Sub-Saharan Africa,3.853599993896484,0.2733739860191346,0.6375789371299745,0.2417018278369904,0.35227350259399415,0.1063055235438346,0.24850501841735842,Infeliz
55,Latin America and Caribbean,3.8655999851226803,0.3228620525741578,0.616215964389801,0.3357462260074616,0.08926797146523,0.1260764299054146,0.44833075617790225,Infeliz
56,Latin America and Caribbean,5.240800046539306,0.6564366235466004,1.058876995742798,0.6622998959884644,0.3966219720420838,0.07253109050941468,0.2227717747297286,Feliz
57,Eastern Asia,5.4479999999999995,1.4349349999999998,1.1238475,1.0295125,0.5102175,0.31642750000000003,0.3249375,Feliz
58,Central and Eastern Europe,5.329399976348876,1.20407438685608,1.2575846183853139,0.7365786905059812,0.23053670386219022,0.03018738748192788,0.08948033248186113,Feliz
59,Western Europe,7.511000037384034,1.3865226040802,1.4928128014068602,0.9177444244232179,0.6180345270652771,0.1401453118944168,0.4191240441474914,Feliz
60,Southern Asia,4.297800011444092,0.7307142496299744,0.5881165193481446,0.4989255233669282,0.4615394009990693,0.08847337705183031,0.22371369789218898,Infeliz
61,Southeastern Asia,5.2520000167846685,0.9209697184677124,1.131154939857482,0.5612031441059113,0.4661606926403046,0.01290742709809542,0.5348529175872802,Feliz
62,Middle East and Northern Africa,4.689199982452392,1.0884506213912961,0.6515182498054505,0.6911406377067566,0.30781852162265777,0.0834182146999836,0.34109658264923104,Infeliz
63,Middle East and Northern Africa,4.528400043487548,1.043188097091674,0.8681106395606994,0.5448620939979554,0.21642310653877264,0.1130911509375572,0.174149452802658,Infeliz
64,Western Europe,6.964400047302246,1.4604153278579723,1.445056223068238,0.878932524848938,0.5721920684051514,0.29979163066291803,0.388299664571762,Feliz
65,Middle East and Northern Africa,7.142199964141847,1.303722484680176,1.3219179927444462,0.9026887999610901,0.41749972076606756,0.12087442001199722,0.3199365309906006,Feliz
66,Western Europe,6.022400045013428,1.3118313237838741,1.334672656333924,0.9287248695335389,0.2438161425361634,0.02811961828315258,0.17257192963504803,Feliz
67,Sub-Saharan Africa,4.2731999656677235,0.5466917841262818,0.7863380060501097,0.11145043393683433,0.4283992385463714,0.1315163550891876,0.181253493982315,Infeliz
68,Latin America and Caribbean,5.661999974060058,0.8558578618927001,1.2907916128616344,0.6894244768333436,0.49593944781112675,0.03603955620384216,0.1743136674642562,Feliz
69,Eastern Asia,5.9258000152587895,1.3377450356597902,1.326999565727234,0.9790991742172241,0.49347710919570914,0.1648421473169326,0.095572553630352,Feliz
70,Middle East and Northern Africa,5.179599993133545,0.9097444788856505,1.1290337785873419,0.6736200116653441,0.407252229850769,0.13194065443754202,0.13306409204483038,Feliz
71,Central and Eastern Europe,5.838399953460694,1.1905052539291379,1.2972438031387319,0.6367163101272585,0.4446288566474914,0.1064285772771836,0.15286888461208342,Feliz
72,Sub-Saharan Africa,4.449399994659424,0.49057189242935173,0.972022145111084,0.41216166993522635,0.4431347532100678,0.059578263843059545,0.3915120618724822,Infeliz
